Date,Open,High,Low,Close,Volume
"03/26/2025,""130.97"",""131.04"",""129.82"",""130.00"",""28,162"""
"03/25/2025,""130.46"",""131.02"",""130.26"",""130.57"",""35,423"""
"03/24/2025,""129.60"",""130.59"",""129.41"",""130.47"",""18,729"""
"03/21/2025,""128.49"",""128.63"",""127.60"",""128.43"",""22,564"""
"03/20/2025,""129.06"",""129.60"",""127.97"",""128.72"",""41,633"""
"03/19/2025,""127.36"",""128.64"",""127.34"",""128.46"",""39,192"""
"03/18/2025,""127.82"",""128.27"",""126.77"",""127.20"",""69,745"""
"03/17/2025,""127.00"",""128.08"",""126.85"",""127.68"",""88,946"""
"03/14/2025,""126.07"",""127.41"",""125.80"",""127.05"",""68,411"""
"03/13/2025,""125.85"",""126.67"",""125.40"",""125.61"",""45,847"""
"03/12/2025,""125.73"",""127.29"",""125.00"",""126.32"",""55,517"""
"03/11/2025,""126.54"",""126.84"",""124.69"",""125.01"",""70,642"""
"03/10/2025,""129.38"",""129.44"",""127.03"",""127.45"",""107,538"""
"03/07/2025,""129.71"",""130.03"",""128.33"",""128.46"",""48,576"""
"03/06/2025,""131.32"",""131.44"",""129.50"",""130.66"",""70,926"""
"03/05/2025,""132.27"",""132.71"",""130.26"",""130.28"",""66,661"""
"03/04/2025,""134.44"",""134.49"",""131.65"",""131.85"",""70,734"""
"03/03/2025,""137.25"",""137.36"",""135.86"",""136.07"",""39,101"""
"02/28/2025,""135.36"",""136.11"",""134.86"",""135.72"",""42,079"""
"02/27/2025,""137.03"",""137.65"",""136.34"",""137.39"",""26,634"""
"02/26/2025,""136.83"",""137.49"",""136.60"",""137.24"",""21,633"""
"02/25/2025,""136.89"",""136.99"",""135.25"",""135.42"",""44,480"""
"02/24/2025,""137.78"",""138.20"",""136.76"",""137.35"",""48,569"""
"02/21/2025,""139.04"",""139.62"",""138.77"",""139.01"",""20,830"""
"02/20/2025,""139.68"",""139.93"",""138.64"",""138.77"",""30,068"""
"02/19/2025,""140.00"",""140.18"",""139.38"",""140.01"",""22,807"""
"02/18/2025,""139.75"",""140.13"",""139.43"",""139.57"",""41,994"""
"02/17/2025,""139.17"",""139.47"",""139.11"",""139.42"",""20,725"""
"02/14/2025,""139.19"",""139.24"",""138.56"",""138.64"",""27,120"""
"02/13/2025,""138.39"",""139.06"",""138.03"",""138.88"",""22,747"""
"02/12/2025,""138.93"",""139.39"",""138.00"",""138.28"",""41,935"""
"02/11/2025,""139.21"",""139.36"",""138.85"",""139.16"",""27,757"""
"02/10/2025,""139.10"",""139.71"",""138.95"",""139.52"",""29,841"""
"02/07/2025,""138.80"",""139.31"",""138.38"",""138.80"",""29,084"""
"02/06/2025,""138.51"",""139.01"",""138.47"",""138.90"",""31,380"""
"02/05/2025,""137.03"",""137.38"",""136.70"",""137.35"",""111,049"""
"02/04/2025,""137.47"",""137.90"",""136.88"",""137.88"",""39,858"""
"02/03/2025,""137.24"",""137.99"",""136.70"",""137.80"",""86,285"""
"01/31/2025,""138.60"",""139.18"",""138.60"",""138.90"",""22,652"""
"01/30/2025,""137.57"",""138.67"",""137.19"",""137.66"",""27,708"""
"01/29/2025,""137.61"",""137.85"",""137.05"",""137.14"",""22,099"""
"01/28/2025,""136.25"",""136.94"",""136.00"",""136.57"",""24,554"""
"01/27/2025,""135.44"",""135.51"",""133.50"",""134.88"",""29,048"""
"01/24/2025,""137.51"",""137.98"",""136.89"",""137.13"",""20,522"""
"01/23/2025,""137.36"",""137.81"",""137.09"",""137.64"",""14,114"""
"01/22/2025,""137.01"",""137.44"",""136.84"",""137.44"",""25,275"""
"01/21/2025,""136.37"",""136.99"",""136.27"",""136.44"",""25,209"""
"01/20/2025,""136.92"",""136.99"",""136.17"",""136.45"",""42,511"""
"01/17/2025,""136.07"",""137.21"",""135.97"",""137.03"",""24,781"""
"01/16/2025,""136.29"",""136.31"",""135.59"",""135.93"",""17,200"""
"01/15/2025,""133.43"",""135.49"",""133.36"",""135.40"",""36,317"""
"01/14/2025,""134.29"",""134.57"",""133.17"",""133.37"",""20,399"""
"01/13/2025,""133.49"",""133.85"",""132.87"",""133.47"",""18,264"""
"01/10/2025,""134.74"",""135.04"",""133.50"",""133.74"",""15,846"""
"01/09/2025,""134.68"",""135.10"",""134.62"",""135.09"",""8,843"""
"01/08/2025,""134.94"",""135.41"",""134.42"",""134.99"",""21,200"""
"01/07/2025,""134.91"",""136.62"",""134.70"",""134.99"",""25,946"""
"01/06/2025,""135.29"",""136.03"",""135.00"",""135.87"",""50,857"""
"01/03/2025,""134.77"",""135.20"",""134.42"",""135.19"",""30,933"""
"01/02/2025,""134.25"",""135.41"",""134.00"",""135.41"",""44,430"""
"12/30/2024,""134.03"",""134.26"",""132.75"",""133.63"",""24,657"""
"12/27/2024,""135.11"",""135.30"",""133.90"",""134.28"",""18,179"""
"12/23/2024,""134.03"",""134.18"",""133.34"",""133.76"",""17,430"""
"12/20/2024,""132.66"",""133.96"",""131.26"",""133.96"",""46,999"""
"12/19/2024,""133.49"",""135.08"",""133.19"",""133.82"",""50,332"""
"12/18/2024,""135.69"",""136.06"",""135.36"",""135.80"",""15,149"""
"12/17/2024,""135.50"",""135.94"",""135.14"",""135.43"",""28,272"""
"12/16/2024,""135.64"",""136.35"",""135.47"",""135.93"",""22,038"""
"12/13/2024,""136.49"",""136.63"",""135.45"",""135.61"",""17,694"""
"12/12/2024,""136.51"",""136.74"",""136.12"",""136.48"",""15,302"""
"12/11/2024,""135.80"",""136.73"",""135.67"",""136.73"",""15,732"""
"12/10/2024,""135.64"",""136.16"",""135.56"",""135.95"",""19,863"""
"12/09/2024,""136.43"",""136.50"",""135.60"",""135.94"",""25,078"""
"12/06/2024,""135.62"",""136.33"",""135.50"",""136.02"",""11,645"""
"12/05/2024,""136.13"",""136.38"",""135.73"",""135.96"",""14,158"""
"12/04/2024,""135.96"",""136.63"",""135.75"",""136.04"",""16,392"""
"12/03/2024,""135.90"",""135.92"",""135.36"",""135.70"",""16,399"""
"12/02/2024,""135.02"",""135.83"",""134.89"",""135.74"",""44,015"""
"11/29/2024,""133.81"",""134.56"",""133.74"",""134.54"",""33,048"""
"11/28/2024,""134.09"",""134.18"",""133.80"",""134.02"",""7,986"""
"11/27/2024,""134.51"",""134.58"",""133.40"",""133.46"",""25,031"""
"11/26/2024,""134.14"",""134.62"",""133.73"",""134.54"",""14,739"""
"11/25/2024,""135.00"",""135.11"",""134.23"",""134.49"",""22,117"""
"11/22/2024,""133.61"",""135.43"",""133.57"",""134.79"",""32,098"""
"11/21/2024,""132.19"",""133.30"",""131.78"",""133.36"",""26,621"""
"11/20/2024,""132.23"",""132.44"",""131.43"",""131.78"",""13,659"""
"11/19/2024,""131.94"",""132.00"",""130.29"",""131.64"",""21,429"""
"11/18/2024,""131.50"",""131.82"",""131.11"",""131.82"",""19,207"""
"11/15/2024,""131.96"",""132.12"",""131.32"",""131.43"",""18,839"""
